sku_id,category,name,mrp,discountpercent,availablequantity,discountedsellingprice,weightingms,outofstock,quantity
224,Fruits & Vegetables,Onion,25,16,3,21,1000,FALSE,1
225,Fruits & Vegetables,Tomato Hybrid,42,16,3,35,1000,FALSE,1
991,Munchies,Everest Sabji Masala,30,3,6,29,50,FALSE,50
1065,Munchies,Popular Essentials Ajwain Whole,50,12,2,44,100,FALSE,100
1495,Beverages,iD Curd Cup,60,0,6,60,400,FALSE,400
1766,Packaged Food,Kellogg's Corn Flakes,425,9,1,383,1000,FALSE,1
2355,Ice Cream & Desserts,Top Ramen Masala,91,9,0,82,560,TRUE,560
2767,"Meats, Fish & Eggs",Arden Eggs White,97,0,4,97,696,FALSE,12
2878,Biscuits,Parle Rusk Elaichi,48,2,6,47,300,FALSE,300
3011,Personal Care,Gillette Sensitive Shaving Foam,225,6,4,210,418,FALSE,418
3211,Personal Care,Johnson's Baby Oil,115,0,4,115,100,FALSE,100
3338,Paan Corner,Livon Anti-Frizz Serum,250,10,3,225,100,FALSE,100
3404,Paan Corner,Godrej Protekt,99,0,3,99,750,FALSE,750
3602,Paan Corner,Set Wet Deodrant Charm Avatar,199,0,1,199,150,FALSE,150
3665,Home & Cleaning,Surf Excel Stain Eraser,18,0,1,18,150,FALSE,150
3791,Home & Cleaning,Om Bhakti Gangajal Packed At Gangotri,30,3,6,29,220,FALSE,220
226,Fruits & Vegetables,Tender Coconut,51,15,3,43,58,FALSE,1
227,Fruits & Vegetables,Coriander Leaves,20,15,3,17,100,FALSE,100
228,Fruits & Vegetables,Ladies Finger ,14,14,3,12,250,FALSE,250
229,Fruits & Vegetables,Potato,35,17,3,29,1000,FALSE,1
230,Fruits & Vegetables,Lemon,75,16,3,63,200,FALSE,200
231,Fruits & Vegetables,Watermelon ,58,15,3,49,58,FALSE,1
232,Fruits & Vegetables,Capsicum Green ,23,17,3,19,250,FALSE,250
233,Fruits & Vegetables,Chilli Green ,19,15,3,16,100,FALSE,100
234,Fruits & Vegetables,Banana Robusta,29,17,3,24,348,FALSE,6
235,Fruits & Vegetables,Garlic Indian ,11,18,3,9,100,FALSE,100
